platform,search_keyword,product_id,product_name,brand,price,mrp,unit,inventory,merchant_id,rating
Blinkit,milk,518553,Sids Farm Buffalo A2 Milk,Sids Farm,60,60,500 ml,9,45631,"{'type': 'bar', 'bar': {'value': 4.190000057220459, 'size': 'medium', 'title': {'text': '10,391', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,37083,Nandini Toned Milk,Nandini,24,24,500 ml,50,45631,"{'type': 'bar', 'bar': {'value': 4.559999942779541, 'size': 'medium', 'title': {'text': '1 lac', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,309921,Nandini Shubham Pasteurised Standardized Toned Milk,Nandini,27,27,500 ml,50,45631,"{'type': 'bar', 'bar': {'value': 4.53000020980835, 'size': 'medium', 'title': {'text': '1.2 lac', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,127081,Heritage Daily Health Toned Milk,Heritage,27,27,500 ml,48,45631,"{'type': 'bar', 'bar': {'value': 4.599999904632568, 'size': 'medium', 'title': {'text': '96,337', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,641570,Amul Gold Premium Full Cream Milk,Amul,90,90,1 ltr,4,45631,"{'type': 'bar', 'bar': {'value': 4.179999828338623, 'size': 'medium', 'title': {'text': '3,981', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,542051,Akshayakalpa Organic A2 Cow Milk (Pasteurized),Akshayakalpa Organic,47,47,500 ml,26,45631,"{'type': 'bar', 'bar': {'value': 4.539999961853027, 'size': 'medium', 'title': {'text': '6,635', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,179137,Heritage Special Long Life Milk (90 Days Shelf Life),Heritage,32,33,450 ml,50,45631,"{'type': 'bar', 'bar': {'value': 4.619999885559082, 'size': 'medium', 'title': {'text': '24,253', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,176,Amul Taaza Homogenised Toned Milk,Amul,77,77,1 ltr,41,45631,"{'type': 'bar', 'bar': {'value': 4.71999979019165, 'size': 'medium', 'title': {'text': '1.3 lac', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,740912,Fidelo Bilona Hand Churned Cow Ghee,Fidelo,949,1249,1 ltr,1,45631,
Blinkit,milk,281456,Arokya Toned Milk,Arokya,26,26,500 ml,7,45631,"{'type': 'bar', 'bar': {'value': 4.559999942779541, 'size': 'medium', 'title': {'text': '16,426', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
